DOI
10.1016/j.ijsolstr.2024.113110
10.1016/j.jmps.2019.103684
10.1016/j.cma.2019.112781
10.1007/s10704-022-00628-0
10.1016/j.ijfatigue.2023.107558
10.1016/j.tafmec.2019.102282
10.1002/pamm.202000029
